Surname,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,LogAge,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male
Morley,686,38,6,149238.97,1,1,1,97825.23,0,3.6635616461296463,1,0,0,0,1
Chou,351,57,4,163146.46,1,1,0,169621.69,1,4.060443010546419,0,1,0,1,0
Shao,739,37,8,0.0,2,1,0,191557.1,1,3.6375861597263857,1,0,0,1,0
Trentino,627,32,10,0.0,2,1,0,103287.62,0,3.4965075614664802,1,0,0,0,1
Mazzanti,451,38,9,61482.47,1,1,1,167538.66,0,3.6635616461296463,0,1,0,1,0
Endrizzi,512,41,8,145150.28,1,1,0,64869.32,1,3.7376696182833684,1,0,0,1,0
Monaldo,774,41,5,126670.37,1,1,0,102426.06,0,3.7376696182833684,1,0,0,1,0
Otutodilinna,652,40,8,84390.8,2,0,1,107876.2,0,3.713572066704308,1,0,0,1,0
Allen,638,37,2,89728.86,2,1,1,37294.88,0,3.6375861597263857,0,1,0,0,1
Milne,475,57,1,0.0,2,1,0,89248.99,0,4.060443010546419,1,0,0,1,0
Somadina,567,40,4,118628.8,1,0,0,91973.63,0,3.713572066704308,0,0,1,0,1
Chieloka,750,37,3,0.0,2,1,0,16870.2,0,3.6375861597263857,1,0,0,0,1
Chukwuebuka,850,39,6,96863.13,1,1,1,121681.19,0,3.6888794541139363,1,0,0,0,1
Chioke,753,38,6,142263.45,1,0,1,33730.43,0,3.6635616461296463,1,0,0,1,0
Kovalev,683,36,7,0.0,2,1,0,104786.59,0,3.6109179126442243,0,0,1,1,0
Doherty,710,32,3,0.0,1,1,0,94790.34,0,3.4965075614664802,1,0,0,1,0
Baranov,645,21,1,0.0,2,0,0,28726.07,0,3.091042453358316,0,0,1,1,0
Rossi,714,28,6,122724.37,1,1,1,67057.27,0,3.367295829986474,1,0,0,0,1
Robinson,696,35,4,174902.26,1,1,0,69079.85,0,3.58351893845611,0,1,0,1,0
Bidencope,612,26,4,0.0,2,1,1,179780.74,0,3.295836866004329,0,0,1,1,0
T'ien,520,31,3,108914.17,1,1,1,183572.39,1,3.4657359027997265,0,1,0,1,0
De Bernales,782,23,10,98052.66,1,1,1,142587.32,0,3.1780538303479458,0,0,1,0,1
Wade,666,46,5,123873.19,1,1,1,177844.06,0,3.8501476017100584,1,0,0,0,1
Chung,466,56,2,111920.13,3,1,0,197634.11,1,4.04305126783455,0,1,0,1,0
Stevenson,567,45,4,0.0,2,0,1,121053.19,0,3.828641396489095,1,0,0,1,0
Chienezie,613,20,3,0.0,2,1,1,149613.77,0,3.044522437723423,1,0,0,0,1
Cashin,718,37,8,0.0,2,1,1,142.81,0,3.6375861597263857,1,0,0,0,1
Seppelt,614,37,8,75150.34,4,0,1,131766.67,1,3.6375861597263857,1,0,0,1,0
Brownless,711,38,10,0.0,2,0,0,53311.78,0,3.6635616461296463,1,0,0,0,1
McDonald,691,38,5,114753.76,1,1,0,107665.02,0,3.6635616461296463,0,1,0,1,0
Mamelu,527,32,0,0.0,1,1,0,109523.88,0,3.4965075614664802,1,0,0,0,1
McGregor,476,32,6,111871.93,1,0,0,112132.86,0,3.4965075614664802,1,0,0,1,0
McDonald,619,45,0,0.0,2,0,0,113645.4,0,3.828641396489095,0,0,1,1,0
Crawford,607,37,4,135927.06,1,0,0,180890.4,0,3.6375861597263857,0,1,0,1,0
Feng,695,44,8,0.0,2,1,1,70974.13,0,3.8066624897703196,0,0,1,0,1
Genovese,653,33,1,0.0,2,0,0,53379.52,0,3.5263605246161616,1,0,0,0,1
Pirozzi,677,46,2,57037.74,1,1,1,158531.01,0,3.8501476017100584,1,0,0,0,1
Gibbs,655,50,10,0.0,4,1,0,179267.94,1,3.9318256327243257,1,0,0,1,0
Milne,625,52,2,79468.96,1,1,1,84606.03,0,3.970291913552122,1,0,0,1,0
Dickson,679,34,7,121063.85,1,1,0,56984.58,0,3.5553480614894135,0,1,0,1,0
O'Connor,734,51,1,118537.47,1,1,1,116912.45,0,3.9512437185814275,1,0,0,0,1
McGuirk,666,39,10,0.0,2,1,0,102999.33,0,3.6888794541139363,1,0,0,0,1
Toscani,592,26,4,105082.07,2,1,0,132801.57,0,3.295836866004329,0,1,0,1,0
Ruth,564,40,4,0.0,1,1,0,85455.62,1,3.713572066704308,1,0,0,0,1
Hughes,814,36,6,0.0,2,1,1,98657.01,0,3.6109179126442243,1,0,0,1,0
Onyekaozulu,592,36,2,104702.65,2,1,0,107948.72,0,3.6109179126442243,0,1,0,0,1
Aksenov,758,50,2,95813.76,3,1,1,67944.09,1,3.9318256327243257,1,0,0,1,0
K'ung,612,62,0,167026.61,2,1,1,192892.05,0,4.143134726391533,0,0,1,1,0
Meng,498,61,7,102453.26,1,1,0,187247.56,1,4.127134385045092,0,1,0,0,1
Nwoye,638,25,4,148045.45,2,1,1,114722.42,0,3.258096538021482,0,1,0,0,1
Calabresi,558,35,1,0.0,2,0,0,111687.57,0,3.58351893845611,1,0,0,0,1
Milano,756,24,1,0.0,2,1,0,184182.25,0,3.2188758248682006,1,0,0,1,0
Kirby,782,52,4,0.0,1,1,1,52759.82,1,3.970291913552122,0,0,1,0,1
Ho,505,34,10,104498.79,1,0,1,126451.14,0,3.5553480614894135,1,0,0,0,1
Chukwuemeka,671,29,6,0.0,2,0,0,12048.67,0,3.4011973816621555,0,0,1,1,0
Hale,801,42,6,0.0,2,1,1,95804.33,0,3.7612001156935624,1,0,0,0,1
K?,604,26,8,149542.52,2,0,1,197911.52,0,3.295836866004329,1,0,0,0,1
Rice,716,29,10,87946.39,1,1,1,182531.74,0,3.4011973816621555,1,0,0,1,0
Brown,624,45,3,68639.57,1,1,0,168002.31,1,3.828641396489095,1,0,0,1,0
Sagese,607,47,4,148826.32,1,1,1,79450.61,0,3.8712010109078907,0,1,0,0,1
Aksyonova,827,60,2,0.0,2,0,1,60615.83,0,4.110873864173311,1,0,0,1,0
Findlay,606,61,5,108166.09,2,0,1,8643.21,0,4.127134385045092,1,0,0,0,1
Walker,717,35,5,103214.71,1,1,0,172172.7,0,3.58351893845611,0,1,0,1,0
Hao,651,40,1,134760.21,2,0,0,174434.06,1,3.713572066704308,0,1,0,0,1
Hammer,691,58,3,0.0,1,0,1,194930.3,1,4.07753744390572,1,0,0,0,1
Abbott,573,33,0,90124.64,1,1,0,137476.71,0,3.5263605246161616,1,0,0,1,0
Lucas,723,38,6,0.0,2,1,1,94415.6,0,3.6635616461296463,0,0,1,0,1
Davydova,584,46,6,87361.02,2,1,0,120376.87,1,3.8501476017100584,0,1,0,1,0
West,550,45,8,111257.59,1,0,0,97623.42,1,3.828641396489095,0,1,0,1,0
Smith,611,61,3,131583.59,4,0,1,66238.23,1,4.127134385045092,1,0,0,1,0
Mai,549,41,9,95020.8,3,1,1,131710.59,1,3.7376696182833684,0,1,0,0,1
Fiorentino,850,24,1,0.0,2,0,1,69052.87,0,3.2188758248682006,0,0,1,1,0
Freeman,668,34,5,80242.37,2,0,0,56780.97,0,3.5553480614894135,0,1,0,0,1
Nkemjika,686,43,0,0.0,1,1,1,170072.9,0,3.784189633918261,1,0,0,1,0
Ramos,660,50,1,0.0,3,1,1,191849.15,1,3.9318256327243257,1,0,0,0,1
Mario,682,59,0,122661.39,1,0,1,84803.76,0,4.0943445622221,0,0,1,1,0
Chien,524,50,4,0.0,2,1,1,31840.59,1,3.9318256327243257,1,0,0,0,1
Dubinina,645,36,8,0.0,2,1,1,12096.61,1,3.6109179126442243,1,0,0,1,0
Wang,850,42,0,0.0,2,1,0,44165.84,0,3.7612001156935624,1,0,0,0,1
Hsieh,537,53,3,0.0,1,1,1,91406.62,0,3.9889840465642745,1,0,0,1,0
Moran,599,46,7,81742.84,2,1,0,83282.21,0,3.8501476017100584,0,0,1,1,0
Hung,727,71,8,0.0,1,1,1,198446.91,1,4.276666119016055,0,0,1,0,1
Moss,756,30,2,145127.85,1,0,0,7554.68,0,3.4339872044851463,0,0,1,0,1
Fedorova,755,38,9,148912.44,1,1,0,80416.16,0,3.6635616461296463,1,0,0,0,1
Li,634,41,4,0.0,2,1,1,164549.74,0,3.7376696182833684,0,0,1,1,0
Nebechi,837,26,4,89900.24,2,1,0,175477.03,0,3.295836866004329,1,0,0,0,1
Obialo,727,30,8,119027.28,2,1,1,137903.54,0,3.4339872044851463,0,1,0,1,0
Bateson,567,40,2,105222.86,2,1,0,93795.86,0,3.713572066704308,0,1,0,1,0
Long,650,30,6,0.0,1,0,0,67997.13,1,3.4339872044851463,0,0,1,1,0
Nelson,655,34,1,116114.93,1,1,1,49492.15,0,3.5553480614894135,0,0,1,0,1
Bell,763,58,9,187911.55,1,0,1,35825.18,0,4.07753744390572,1,0,0,1,0
Udinese,843,27,5,0.0,2,1,1,67494.23,0,3.332204510175204,1,0,0,1,0
Mao,667,38,6,144432.04,1,1,1,73963.17,1,3.6635616461296463,1,0,0,1,0
Fanucci,705,50,4,77065.9,2,0,1,145159.26,0,3.9318256327243257,1,0,0,1,0
Yeh,660,29,6,180520.29,1,1,1,123850.58,0,3.4011973816621555,0,1,0,1,0
Onuoha,553,42,1,0.0,2,0,0,23822.04,0,3.7612001156935624,1,0,0,0,1
Moore,612,47,6,130024.87,1,1,1,45750.21,1,3.8712010109078907,0,1,0,1,0
Thornton,641,40,2,110086.69,1,1,0,159773.14,0,3.713572066704308,0,1,0,1,0
Warlow-Davies,513,31,5,174853.46,1,1,0,84238.63,0,3.4657359027997265,0,0,1,1,0
Champion,680,44,7,108724.98,1,0,1,72330.46,0,3.8066624897703196,1,0,0,0,1
Mazzanti,711,58,9,91285.13,2,1,1,26767.85,0,4.07753744390572,1,0,0,0,1
Macleod,689,40,2,0.0,2,1,1,164768.82,0,3.713572066704308,0,0,1,0,1
Lei,665,51,9,110610.41,2,0,1,1112.76,1,3.9512437185814275,0,1,0,1,0
Lucchese,551,54,5,102994.04,1,1,0,176680.16,1,4.007333185232471,0,1,0,0,1
Lombardo,645,36,4,59893.85,2,1,0,43999.64,0,3.6109179126442243,0,0,1,0,1
William,616,29,8,149318.55,1,1,0,140746.13,0,3.4011973816621555,0,1,0,0,1
Wright,582,32,1,116409.55,1,0,1,152790.92,0,3.4965075614664802,1,0,0,1,0
Ozoemena,365,30,0,127760.07,1,1,0,81537.85,1,3.4339872044851463,0,1,0,0,1
Boyle,697,38,6,132591.36,1,1,1,7387.8,1,3.6635616461296463,0,1,0,1,0
Chinwendu,704,31,0,0.0,2,1,0,183038.33,0,3.4657359027997265,1,0,0,0,1
Uwaezuoke,656,46,5,113402.14,2,1,1,138849.06,0,3.8501476017100584,1,0,0,1,0
Archambault,712,31,7,0.0,2,1,0,170333.38,0,3.4657359027997265,1,0,0,1,0
Ko,748,40,0,0.0,1,0,0,60416.76,0,3.713572066704308,1,0,0,0,1
Udegbulam,724,28,9,0.0,2,1,1,100240.2,0,3.367295829986474,1,0,0,0,1
Greene,691,50,6,136953.47,1,1,1,2704.98,0,3.9318256327243257,1,0,0,0,1
Hunter,563,33,8,0.0,2,0,1,68815.05,0,3.5263605246161616,1,0,0,0,1
Blinova,741,32,5,0.0,1,1,1,64839.23,0,3.4965075614664802,1,0,0,0,1
De Garis,778,44,8,123863.64,1,1,0,144494.94,0,3.8066624897703196,1,0,0,0,1
Okwudiliolisa,848,22,7,120811.89,1,1,1,185510.34,0,3.1354942159291497,0,0,1,0,1
Ts'ai,634,38,2,148430.55,1,1,1,56055.72,0,3.6635616461296463,0,1,0,0,1
Tuan,505,40,6,47869.69,2,1,1,155061.97,0,3.713572066704308,0,1,0,0,1
Tseng,692,53,7,150926.99,2,0,0,119817.19,0,3.9889840465642745,0,1,0,0,1
Holmwood,537,47,6,103163.35,1,1,0,16259.64,1,3.8712010109078907,0,1,0,1,0
Thompson,633,29,10,130206.28,1,1,0,184654.87,0,3.4011973816621555,1,0,0,0,1
Y?,833,28,4,136674.51,2,0,0,5278.78,0,3.367295829986474,1,0,0,1,0
Chidubem,592,40,2,200322.45,1,1,1,113244.73,0,3.713572066704308,0,0,1,1,0
Trevisani,587,48,1,0.0,2,1,1,8908.0,0,3.8918202981106265,0,0,1,0,1
Hsiung,550,62,7,80927.56,1,0,1,64490.67,0,4.143134726391533,0,0,1,0,1
Randall,680,24,10,0.0,3,1,0,154971.63,1,3.2188758248682006,1,0,0,1,0
Leach,622,41,9,0.0,2,1,1,155786.39,0,3.7376696182833684,0,0,1,1,0
Godfrey,594,28,0,142574.71,2,1,0,129084.82,0,3.367295829986474,0,1,0,0,1
Wallace,643,34,7,160426.07,1,0,1,188533.11,0,3.5553480614894135,0,1,0,1,0
Wei,540,25,5,116160.23,1,1,0,13411.67,0,3.258096538021482,1,0,0,0,1
Mitchell,635,34,5,98683.47,2,1,0,15733.19,0,3.5553480614894135,0,0,1,1,0
Light,657,32,3,118829.03,2,1,1,73127.61,0,3.4965075614664802,1,0,0,0,1
Capon,814,31,1,118870.92,1,1,0,101704.19,0,3.4657359027997265,1,0,0,0,1
Hou,600,32,1,0.0,1,1,1,101986.16,0,3.4965075614664802,1,0,0,0,1
Rowe,682,46,2,0.0,1,1,1,114442.66,0,3.8501476017100584,1,0,0,1,0
Holloway,682,38,4,107192.38,1,1,1,15669.17,0,3.6635616461296463,1,0,0,0,1
O'Sullivan,566,42,3,108010.78,1,1,1,157486.1,0,3.7612001156935624,1,0,0,0,1
Udinesi,550,34,3,0.0,2,0,0,131281.28,0,3.5553480614894135,0,0,1,0,1
Nwebube,630,26,7,129837.72,2,0,1,197001.15,0,3.295836866004329,1,0,0,0,1
Chibueze,546,58,3,106458.31,4,1,0,128881.87,1,4.07753744390572,0,1,0,1,0
Walker,486,63,9,97009.15,1,1,1,85101.0,0,4.1588830833596715,1,0,0,0,1
Gregory,762,35,9,122929.42,2,0,0,149822.04,0,3.58351893845611,0,0,1,0,1
Kuo,692,45,6,152296.83,4,0,1,108040.86,1,3.828641396489095,0,1,0,0,1
Wilson,498,30,1,0.0,2,0,0,135795.53,0,3.4339872044851463,1,0,0,1,0
Lanford,850,49,8,0.0,1,0,0,25867.67,1,3.912023005428146,0,0,1,0,1
Meng,603,35,6,128993.76,2,1,0,130483.56,0,3.58351893845611,1,0,0,0,1
Yeh,551,36,5,0.0,1,1,0,183479.12,0,3.6109179126442243,1,0,0,1,0
Onwuatuegwu,627,27,0,185267.45,2,1,1,77027.34,0,3.332204510175204,0,1,0,0,1
Goliwe,515,28,9,0.0,2,0,0,94141.75,0,3.367295829986474,1,0,0,1,0
Anthony,605,29,3,116805.82,1,0,0,4092.75,0,3.4011973816621555,0,0,1,1,0
Scott,567,29,5,129750.68,1,1,0,109257.59,0,3.4011973816621555,0,1,0,0,1
Genovese,568,29,2,129177.01,2,0,1,104617.99,0,3.4011973816621555,0,1,0,1,0
Onyeorulu,571,25,6,82506.72,2,1,0,167705.07,0,3.258096538021482,0,1,0,0,1
Myers,634,48,2,107247.69,1,1,1,103712.05,1,3.8918202981106265,0,1,0,0,1
Davey,768,42,3,0.0,1,0,0,161242.99,1,3.7612001156935624,0,0,1,1,0
Parsons,554,36,3,157780.93,2,1,0,6089.13,0,3.6109179126442243,0,1,0,1,0
Chikere,629,35,1,172170.36,1,1,1,159777.37,0,3.58351893845611,1,0,0,0,1
Hs?eh,638,48,2,0.0,2,1,1,7919.08,0,3.8918202981106265,0,0,1,0,1
Sal,576,41,1,0.0,1,1,1,188274.6,0,3.7376696182833684,1,0,0,0,1
Ts'ai,661,42,9,75361.44,1,1,0,27608.12,1,3.7612001156935624,0,0,1,1,0
Witt,592,27,4,0.0,2,1,1,183569.25,0,3.332204510175204,1,0,0,1,0
Skelton,702,30,2,0.0,2,1,1,145537.32,0,3.4339872044851463,0,0,1,0,1
Kazantseva,647,29,0,98263.46,2,1,0,164717.95,0,3.4011973816621555,1,0,0,1,0
Bowhay,593,43,9,0.0,2,1,1,76357.43,0,3.784189633918261,1,0,0,0,1
Beyer,712,40,3,109308.79,2,1,0,120158.72,1,3.713572066704308,0,1,0,1,0
Fries,625,31,8,0.0,2,1,0,151843.54,0,3.4657359027997265,0,0,1,1,0
Tao,538,28,6,164365.44,1,0,1,5698.97,0,3.367295829986474,0,1,0,1,0
Kaodilinakachukwu,637,22,5,98800.0,1,1,0,122865.55,0,3.1354942159291497,0,0,1,1,0
Ni,632,27,4,193125.85,1,1,1,152665.85,0,3.332204510175204,1,0,0,0,1
Hsueh,736,27,5,51522.75,1,0,1,192131.77,0,3.332204510175204,1,0,0,0,1
Connely,755,23,5,84284.48,2,1,1,62851.6,0,3.1780538303479458,1,0,0,0,1
Becker,425,39,5,0.0,2,1,0,140941.47,0,3.6888794541139363,0,0,1,1,0
Clayton,461,51,9,119889.84,1,0,0,56767.67,1,3.9512437185814275,1,0,0,0,1
Connolly,745,21,4,137910.45,1,1,1,177235.23,0,3.091042453358316,1,0,0,0,1
Graham,616,37,6,0.0,2,1,0,86242.18,0,3.6375861597263857,1,0,0,1,0
Ch'ien,587,33,5,100116.82,1,1,0,34215.58,0,3.5263605246161616,1,0,0,0,1
Manfrin,850,40,4,166082.15,2,0,1,44406.17,0,3.713572066704308,0,1,0,0,1
Kuo,601,38,0,0.0,2,1,0,165196.65,0,3.6635616461296463,1,0,0,1,0
Fomin,730,26,3,0.0,1,1,0,34542.41,0,3.295836866004329,0,0,1,0,1
Chamberlain,532,44,3,148595.55,1,1,0,74838.64,1,3.8066624897703196,1,0,0,0,1
Barber,850,53,2,94078.97,2,1,0,36980.54,0,3.9889840465642745,0,1,0,0,1
Zimmer,779,34,5,0.0,2,0,1,111676.63,0,3.5553480614894135,0,0,1,1,0
Brazenor,562,29,9,0.0,1,1,1,25858.68,0,3.4011973816621555,1,0,0,0,1
Cocci,670,40,2,164948.98,3,0,0,177028.0,1,3.713572066704308,0,1,0,0,1
Caldwell,729,62,4,140549.4,1,1,0,30990.16,1,4.143134726391533,1,0,0,1,0
Yirawala,767,44,2,152509.25,1,1,1,136915.15,0,3.8066624897703196,1,0,0,1,0
Donaldson,742,28,2,191864.51,1,1,0,108457.99,1,3.367295829986474,1,0,0,1,0
Ozerova,669,44,8,96418.09,1,0,0,131609.48,1,3.8066624897703196,1,0,0,1,0
Bruce,542,32,2,131945.94,1,0,1,159737.56,0,3.4965075614664802,0,0,1,0,1
Kang,586,29,3,0.0,2,1,1,142238.54,0,3.4011973816621555,1,0,0,0,1
Rossi,612,30,9,142910.15,1,1,0,105890.55,1,3.4339872044851463,0,1,0,0,1
Ts'ai,740,37,7,0.0,2,1,1,194270.91,0,3.6375861597263857,1,0,0,1,0
Moran,584,35,3,146311.58,1,1,1,105443.47,0,3.58351893845611,1,0,0,0,1
Jennings,524,52,2,87894.26,1,1,0,173899.42,1,3.970291913552122,1,0,0,0,1
Tokareva,614,19,5,97445.49,2,1,0,122823.34,0,2.995732273553991,1,0,0,1,0
Pagnotto,598,64,9,0.0,1,0,1,13181.37,1,4.174387269895637,1,0,0,1,0
Castella,799,35,7,0.0,2,0,1,140780.8,0,3.58351893845611,0,0,1,0,1
Du Cane,724,34,2,154485.74,2,0,0,78560.64,0,3.5553480614894135,1,0,0,0,1
Ferguson,601,50,2,115625.07,1,1,0,185855.21,0,3.9318256327243257,1,0,0,0,1
Odinakachukwu,804,25,7,108396.67,1,1,0,128276.95,0,3.258096538021482,1,0,0,0,1
Woronoff,745,38,5,65095.41,2,1,1,140197.42,0,3.6635616461296463,0,1,0,0,1
Meng,667,43,1,103018.45,1,1,0,32462.39,1,3.784189633918261,0,1,0,0,1
Sinclair,518,38,10,84764.79,1,1,1,162253.9,0,3.6635616461296463,1,0,0,1,0
Hsu,819,38,10,0.0,2,1,0,30498.7,0,3.6635616461296463,1,0,0,1,0
Panicucci,520,35,4,115680.81,1,1,1,90280.7,0,3.58351893845611,0,0,1,1,0
Burns,625,39,5,0.0,2,1,0,32615.21,0,3.6888794541139363,1,0,0,1,0
Onodugoadiegbemma,673,36,5,73088.06,2,0,0,196142.26,0,3.6109179126442243,0,1,0,0,1
Darling,656,27,3,150905.03,2,1,0,16998.72,0,3.332204510175204,0,1,0,1,0
Maggard,850,23,9,143054.85,1,0,1,62980.96,0,3.1780538303479458,0,0,1,1,0
Thomas,574,28,7,0.0,2,0,0,185660.3,0,3.367295829986474,0,0,1,1,0
Lettiere,679,60,6,0.0,2,1,1,77331.77,0,4.110873864173311,1,0,0,0,1
Ponomaryov,530,42,0,99948.45,1,0,1,97338.62,0,3.7612001156935624,0,1,0,1,0
Oliver,508,44,3,115451.05,2,0,0,67234.33,0,3.8066624897703196,1,0,0,0,1
Chienezie,558,32,4,108235.91,1,1,1,143783.28,0,3.4965075614664802,0,1,0,0,1
Mao,414,38,8,0.0,1,0,1,77661.12,1,3.6635616461296463,1,0,0,0,1
Ho,648,42,2,98795.61,2,1,0,89123.99,0,3.7612001156935624,0,0,1,0,1
Lucchese,721,37,1,0.0,2,1,0,70810.8,0,3.6375861597263857,1,0,0,1,0
Prokhorova,751,31,8,0.0,2,0,0,17550.49,0,3.4657359027997265,1,0,0,0,1
Alekseyeva,662,34,2,0.0,2,0,1,21497.27,0,3.5553480614894135,1,0,0,0,1
Blacklock,628,29,3,113146.98,2,0,1,124749.08,0,3.4011973816621555,0,1,0,0,1
Sazonova,597,39,8,162532.14,3,1,0,36051.46,1,3.6888794541139363,0,1,0,1,0
Henty,698,40,0,92053.44,1,1,1,143681.83,0,3.713572066704308,0,0,1,1,0
Li,723,48,7,0.0,2,1,1,150694.58,0,3.8918202981106265,1,0,0,0,1
Azuka,586,28,5,0.0,3,1,0,170487.4,1,3.367295829986474,1,0,0,1,0
Alexander,633,29,8,104944.1,1,1,1,97684.46,0,3.4011973816621555,0,1,0,1,0
Brock,564,31,4,0.0,2,1,0,53520.03,0,3.4657359027997265,1,0,0,0,1
Shen,649,31,2,0.0,2,1,0,15200.61,0,3.4657359027997265,1,0,0,1,0
Padovesi,622,30,4,107879.04,1,0,1,196894.62,0,3.4339872044851463,1,0,0,1,0
Bulgakov,459,46,7,110356.42,1,1,0,4969.13,1,3.8501476017100584,0,1,0,0,1
Mazzanti,718,27,2,0.0,2,0,0,26229.24,0,3.332204510175204,1,0,0,0,1
Lord,655,34,4,109783.69,2,1,0,134034.32,0,3.5553480614894135,0,0,1,1,0
Ramos,696,22,9,149777.0,1,1,1,198032.93,0,3.1354942159291497,1,0,0,0,1
Pai,637,38,3,104339.56,1,0,0,119882.86,0,3.6635616461296463,1,0,0,1,0
Yuan,630,21,1,85818.18,1,1,1,133102.3,0,3.091042453358316,0,0,1,1,0
Mao,592,37,4,212692.97,1,0,0,176395.02,0,3.6375861597263857,1,0,0,0,1
Uspenskaya,634,37,1,89696.84,2,1,1,193179.88,0,3.6375861597263857,0,1,0,0,1
Powell,608,28,9,0.0,2,1,1,125062.02,0,3.367295829986474,1,0,0,1,0
Brown,565,32,9,68067.24,1,1,0,143287.58,0,3.4965075614664802,0,1,0,1,0
Poole,763,67,9,148564.66,1,0,1,87236.4,0,4.219507705176107,0,0,1,0,1
McChesney,665,55,8,136354.16,1,1,1,93769.89,0,4.02535169073515,1,0,0,1,0
Lucchese,649,38,1,122214.0,1,0,1,88965.46,0,3.6635616461296463,1,0,0,0,1
Clements,695,45,3,0.0,2,1,1,30793.61,0,3.828641396489095,1,0,0,0,1
Yuriev,775,70,6,119684.88,2,1,1,74532.02,0,4.2626798770413155,0,1,0,0,1
Endrizzi,788,39,3,135139.33,1,0,1,113086.08,0,3.6888794541139363,1,0,0,1,0
Pan,569,42,9,146100.75,1,1,0,32574.01,1,3.7612001156935624,0,1,0,1,0
Manfrin,726,56,8,123110.9,3,0,1,130113.78,1,4.04305126783455,0,0,1,1,0
Kennedy,564,44,3,111760.4,3,1,1,104722.47,1,3.8066624897703196,0,1,0,1,0
Conway,544,32,9,110728.39,1,1,1,14559.62,0,3.4965075614664802,1,0,0,1,0
Lablanc,614,41,8,121558.46,1,1,1,598.8,0,3.7376696182833684,1,0,0,1,0
Dodd,453,38,8,120623.21,1,1,0,129697.99,0,3.6635616461296463,0,1,0,1,0
Muir,471,58,4,114713.57,1,1,1,36315.03,0,4.07753744390572,1,0,0,1,0
Milanesi,829,37,3,103457.76,1,0,0,1114.12,0,3.6375861597263857,0,1,0,1,0
Shen,754,57,2,101134.87,2,1,1,70954.41,0,4.060443010546419,0,1,0,0,1
Dillon,749,46,10,78136.36,2,1,1,73470.98,0,3.8501476017100584,0,1,0,0,1
Hoelscher,667,23,1,0.0,2,1,0,91573.19,0,3.1780538303479458,1,0,0,0,1
Bell,670,30,3,133446.34,1,0,0,3154.95,0,3.4339872044851463,0,0,1,0,1
Liao,670,33,7,0.0,2,1,1,88187.81,0,3.5263605246161616,1,0,0,1,0
Udokamma,623,48,1,108076.33,1,1,0,118855.26,1,3.8918202981106265,0,1,0,1,0
Sinnett,571,32,5,131354.25,1,1,0,125256.53,0,3.4965075614664802,1,0,0,0,1
Palerma,641,37,7,62974.64,2,0,1,39016.43,0,3.6375861597263857,0,1,0,1,0
Chimaijem,551,30,2,143340.44,1,1,0,145796.49,0,3.4339872044851463,0,1,0,1,0
Porter,741,36,8,116993.43,2,1,0,168816.22,0,3.6109179126442243,0,1,0,0,1
Fan,472,31,4,58662.92,2,0,1,73322.0,0,3.4657359027997265,1,0,0,0,1
Palmer,650,41,3,128808.65,3,0,0,113677.53,1,3.7376696182833684,0,0,1,0,1
Younger,625,45,7,137555.44,1,0,0,124607.7,0,3.828641396489095,1,0,0,0,1
Burke,650,34,4,142393.11,1,1,1,11276.48,0,3.5553480614894135,0,1,0,0,1
Nwagugheuzo,535,38,8,0.0,2,1,0,136620.64,0,3.6635616461296463,1,0,0,1,0
Young,649,41,2,125785.23,1,1,1,70523.92,0,3.7376696182833684,1,0,0,1,0
Watson,689,22,4,136444.25,1,1,0,51980.25,1,3.1354942159291497,1,0,0,0,1
Tseng,694,38,7,121527.4,1,1,0,113481.02,0,3.6635616461296463,0,0,1,0,1
Drake,655,52,9,144696.75,1,1,1,49025.79,0,3.970291913552122,0,1,0,0,1
Hanna,620,36,8,0.0,2,1,1,145937.99,0,3.6109179126442243,1,0,0,0,1
Padovesi,577,35,10,0.0,2,1,1,25161.61,0,3.58351893845611,1,0,0,1,0
Loftus,401,48,8,128140.17,1,1,0,175753.55,1,3.8918202981106265,0,1,0,0,1
Buccho,599,25,6,120383.41,1,1,1,24903.09,0,3.258096538021482,1,0,0,0,1
Lorenzo,481,57,9,0.0,3,1,1,169719.35,1,4.060443010546419,1,0,0,1,0
Ibezimako,704,42,8,129735.3,2,1,1,179565.57,0,3.7612001156935624,1,0,0,0,1
Wei,698,31,8,185078.26,1,0,0,115337.74,1,3.4657359027997265,0,0,1,1,0
Ross,480,28,6,0.0,2,0,0,48131.92,0,3.367295829986474,1,0,0,1,0
Oluchukwu,682,42,0,0.0,1,1,1,160828.98,0,3.7612001156935624,1,0,0,0,1
Walker,700,31,7,0.0,2,0,1,145151.96,0,3.4657359027997265,0,0,1,0,1
Wu,492,29,1,144591.96,1,1,1,196293.76,0,3.4011973816621555,1,0,0,0,1
Chidalu,444,45,4,0.0,2,1,0,161653.5,1,3.828641396489095,1,0,0,1,0
Ingram,624,36,6,0.0,2,0,0,84635.64,0,3.6109179126442243,1,0,0,0,1
Ch'en,709,37,7,0.0,1,1,0,159486.76,0,3.6375861597263857,1,0,0,0,1
Iredale,557,68,2,100194.44,1,1,1,38596.34,0,4.23410650459726,0,1,0,0,1
Gallagher,646,50,6,145295.31,2,1,1,27814.74,0,3.9318256327243257,0,1,0,0,1
Padilla,719,28,3,106070.29,2,1,1,183893.31,0,3.367295829986474,0,1,0,0,1
Potter,706,47,6,120621.89,1,1,1,140803.7,0,3.8712010109078907,0,1,0,1,0
